CONCELLO,PROVINCIA,ENDEREZO,CÓDIGO POSTAL,TELéFONO,FAX,CORREO ELECTRÓNICO,PORTAL WEB,LATITUD,LONGITUD
A Baña,A Coruña,Praza do Concello S/N - San Vicente,15863,981886501,981886616,correo@concellocabana.gal,http://www.concellodabana.gal/,42.961887,-8.757992
A Capela,A Coruña,As Neves  Nº 46a,15613,981459006,981459371,concello@acapela.es,http://www.concellodacapela.es,43.435649,-8.068889
A Coruña,A Coruña,Praza Maria Pita Nº1,15001,981184200,981184234,alcaldia@coruna.es,https://www.coruna.gal/,43.371334,-8.395829
A Laracha,A Coruña,Plaza do Concello  S/N,15145,981605001,981606331,info@alaracha.gal,http://www.alaracha.gal/,43.248544,-8.5822
A Pobra do Caramiñal,A Coruña,Rúa Gasset  28,15940,981843280,981831192,correo@apobra.gal,https://apobra.gal/,42.603357,-8.939017
Abegondo,A Coruña,San Marcos  1,15318,981647996,981673050,correo@abegondo.gal,http://abegondo.gal,43.227211,-8.288981
Ames,A Coruña,Praza do Concello Nº2 - Bertamiráns,15864,981883002,981883925,concellodeames@concellodeames.gal,http://www.concellodeames.gal/,42.859451,-8.650103
Aranga,A Coruña,Praza Mestre Mosquera 1,15317,981793551,981793581,correo@aranga.gal,http://www.aranga.es/,43.234057,-8.01605
Ares,A Coruña,Praza da Constitución S/N,15624,981468102,981448299,info@concellodeares.com,http://www.concellodeares.com/,43.425953,-8.24506
Arteixo,A Coruña,Alcalde Ramón Dopico  1,15142,981600009,981602417,correo@arteixo.org,http://www.arteixo.org,43.304866,-8.505092
Arzúa,A Coruña,Rúa Santiago  2,15810,981500000,981500914,correo@concellodearzua.com,http://www.concellodearzua.com,42.926954,-8.164408
As Pontes de García Rodríguez,A Coruña,Parque Municipal  S/N,15302,981453116,981453185,correo@aspontes.org,http://aspontes.org/,43.449305,-7.853057
As Somozas,A Coruña,Igrexa Nº 1,15565,981404101,981404205,correo@assomozas.es,http://www.assomozas.es,43.533202,-7.944719
Bergondo,A Coruña,Carretera A Coruña  Nº12,15165,981791252,981794233,correo@bergondo.gal,http://bergondo.gal/,43.31962,-8.234468
Betanzos,A Coruña,Praza da Constitución  1,15300,981770011,981774285,correo@betanzos.gal,http://betanzos.es/,43.281042,-8.211315
Boimorto,A Coruña,Rúa Vilanova Nº1,15818,981516020,981516045,correo@boimorto.es,http://www.concellodeboimorto.es/,43.00737,-8.127007
Boiro,A Coruña,Praza de Galicia  S/N,15930,981849960,981844008,correo@boiro.gal,http://www.boiro.gal,42.646987,-8.882613
Boqueixón,A Coruña,Forte  S/N,15881,981513052,981513000,correo@boqueixon.es,http://www.boqueixon.com,42.827167,-8.417287
Brión,A Coruña,Praza do Concello Nº1,15865,981887006,981887431,concello@concellodebrion.org,http://www.concellodebrion.org,42.871954,-8.677493
Cabana de Bergantiños,A Coruña,A Carballa S/N,15115,981754020,981754229,cabana@concello-cabana.es,http://www.concello-cabana.es,43.219282,-8.929707
Cabanas,A Coruña,Rua do Concello Nº 3,15621,981495506,981431944,rexistro@cabanas.gal,http://www.cabanas.gal/,43.473306,-8.1613
Camariñas,A Coruña,Praza  da Insuela Nº 57,15123,981736000,981736319,correo@camarinas.net,http://www.camarinas.net/,43.130254,-9.180665
Cambre,A Coruña,Adro  Nº 1,15660,981613128,981675969,cambre@cambre.org,http://www.cambre.es/,43.292505,-8.344728
Carballo,A Coruña,Praza do Concello  S/N,15100,981704100,981702858,info@carballo.gal,http://www.carballo.gal,43.2135,-8.689295
Cariño,A Coruña,Avda. de La Paz  Nº 2 Paseo Marítimo,15360,981405064,981405029,concello@concellodecarino.gal,http://www.concellodecarino.gal/,43.740433,-7.868555
Carnota,A Coruña,Plaza San Gregorio  S/N,15293,981857032,981857251,correo@carnota.gal,https://www.carnota.gal/,42.821029,-9.087587
Carral,A Coruña,Campo da Feira  1,15175,981670002,981672282,correo@carral.es,http://www.carral.es/,43.229148,-8.357806
Cedeira,A Coruña,Real  Nº  15,15350,981480000,981482506,correo@cedeira.gal,http://cedeira.gal/,43.658721,-8.052882
Cee,A Coruña,Rúa Domingo A. de Andrade  S/N,15270,981745100,981746757,correo@cee.gal,https://cee.gal/,42.956124,-9.189608
Cerceda,A Coruña,Avda do Mesón  S/N,15185,981685001,981685205,correo@cerceda.es,http://www.cerceda.org/,43.188798,-8.470845
Cerdido,A Coruña,Felgosas  S/N. A Barqueira,15569,981411000,981411027,correo@cerdido.es,https://www.cerdido.org/,43.607455,-7.952401
Cesuras,A Coruña,Forte-Bragade Nº 1,15391,981790001,981790129,correo@concellodeozacesuras.es,https://www.concellodeozacesuras.es/,43.173918,-8.199492
Coirós,A Coruña,Coirós de Arriba  16,15316,981796414,981796256,correo@coiros.es,http://www.coiros.es/,43.249954,-8.165374
Corcubión,A Coruña,Plaza José Carrera Nº1,15130,981745400,981747100,correo@corcubion.gal,http://www.corcubion.gal/,42.944349,-9.194339
Coristanco,A Coruña,San Roque-Traba Avda. Fisterra S/N,15147,981733001,981733397,correo@coristanco.gal,http://www.coristanco.gal/,43.187312,-8.736942
Culleredo,A Coruña,Rúa do Concello Nº 12,15189,981677777,981677646,alcalde@culleredo.es,http://www.culleredo.es/,43.288288,-8.389354
Curtis,A Coruña,Praza de España  1 - Teixeiro,15310,981789003,981789578,correo@curtis.gal,http://www.curtis.gal/,43.139172,-8.035174
Dodro,A Coruña,Lugar de Tallós Nº 32,15981,981802062,981802142,info@concellodedodro.org,http://www.dodro.gal,42.715749,-8.704197
Dumbría,A Coruña,Estrada de Dumbría  S/N,15151,981744001,981744031,correo@dumbria.es,http://www.dumbria.com,43.00908,-9.11671
Fene,A Coruña,Avda. do Concello  S/N,15500,981492707,981492788,correo@fene.gal,http://www.fene.gal/,43.473489,-8.162724
Ferrol,A Coruña,Praza de Armas S/N,15402,981944000,981944028,informacion@ferrol.es,http://www.ferrol.gal,43.484699,-8.233046
Fisterra,A Coruña,Santa Catalina Nº1,15155,981740001,981740677,info@concellofisterra.com,http://www.concellofisterra.com,42.909052,-9.262344
Frades,A Coruña,Cimadevila  10,15686,981695567,981695579,correo@frades.dicoruna.es,http://www.concellodefrades.es/,43.050184,-8.293712
Irixoa,A Coruña,Pazo de Irixoa  6a,15313,981793001,981793157,correo@irixoa.es,http://www.irixoa.es,43.284094,-8.064737
Laxe,A Coruña,Avda. Cesáreo Pondal  26,15117,981706903,981728025,correo@laxe.es,http://www.concellodelaxe.com,43.217316,-9.004197
Lousame,A Coruña,Praza do Concello Portobravo  1,15214,981820494,981821865,correo@concellodelousame.gal,http://www.concellodelousame.gal,42.776755,-8.828309
Malpica de Bergantiños,A Coruña,Avda. Emilio Gonzalez Nº 1,15113,981720001,981721627,info@concellomalpica.com,http://www.concellomalpica.com,43.322813,-8.811191
Mañón,A Coruña,Praza do Mesón  Nº 1. O Barqueiro,15337,981414002,981414151,correo@manon.es,http://www.manon.es,43.735856,-7.705531
Mazaricos,A Coruña,Avda 13 de Abril Nº 59.  A Picota,15256,981867104,981852217,correo@mazaricos.gal,http://www.mazaricos.gal/,42.936746,-8.990942
Melide,A Coruña,Praza do Convento Nº 5,15800,981505003,981506203,concello@concellodemelide.gal,http://www.concellodemelide.gal,42.91526,-8.016565
Mesía,A Coruña,Xanceda S/N,15685,981687001,981687069,correo@concellodemesia.gal,http://www.concellodemesia.gal/,43.113343,-8.273606
Miño,A Coruña,Carreira  Nº 48,15630,981782006,981783175,correo@concellodemino.gal,https://concellodemino.gal,43.347326,-8.205156
Moeche,A Coruña,Rúa da Feira  32 San Xoán,15563,981404006,981404200,correo@moeche.gal,https://moeche.gal/,43.561774,-8.015417
Monfero,A Coruña,Rebordelo Nº 1,15619,981793885,981793804,correo@monfero.es,http://www.concellodemonfero.com,43.335027,-8.055686
Mugardos,A Coruña,Avda. de Galicia  45,15620,981470290,981472017,correo@concellodemugardos.gal,http://www.mugardos.gal/,43.460462,-8.255035
Muros,A Coruña,Curro da Praza  1,15250,981826050,981762257,correo@muros.gal,http://www.muros.gal,42.774609,-9.057546
Muxía,A Coruña,Real  35,15124,981742117,981742298,correo@muxia.es,http://www.concellomuxia.com,43.104443,-9.2168
Narón,A Coruña,Praza de Galicia S/N,15570,981337700,981337701,naron@naron.es,http://www.naron.es,43.500177,-8.191922
Neda,A Coruña,Avda. Algeciras Nº 34,15510,981380039,981385600,correo@neda.gal,http://www.neda.es,43.501011,-8.156767
Negreira,A Coruña,Rúa Carmen Nº 3,15830,981885250,981885328,concello@concellodenegreira.es,http://www.concellodenegreira.gal,42.909771,-8.736019
Noia,A Coruña,Rosalia de Castro Nº2,15200,981842100,981821741,noia@noia.es,http://www.noia.es,42.785,-8.887741
O Pino,A Coruña, Rúa do concello s/n Pedrouzo. Arca,15821,981511002,981511123,correo@opino.gal,https://opino.gal,42.904922,-8.362538
Oleiros,A Coruña,Praza de Galicia Nº 1,15173,981610000,981610352,alcaldia@oleiros.org,http://www.oleiros.es,43.333119,-8.317066
Ordes,A Coruña,Avda. Alfonso Senra  108,15680,981680002,981682221,info@ordes.gal,http://www.ordes.gal/,43.076737,-8.407797
Oroso,A Coruña,Praza Isaac Díaz Pardo  Nº 1,15884,981691478,981691786,correo@oroso.es,http://www.oroso.es,42.968802,-8.441743
Ortigueira,A Coruña,Praza de Isabel II  s/n,15330,981400000,981400008,sede@concellodeortigueira.com,http://www.concellodeortigueira.gal,43.684681,-7.855048
Outes,A Coruña,Rúa da Vila Nº 1,15230,981850003,981850387,concello@outes.es,https://www.outes.gal,42.842815,-8.908324
Oza dos Ríos,A Coruña,Lois Nº 33. Oza,15380,981792000,981792025,correo@concellodeozacesuras.es,https://www.concellodeozacesuras.es/,43.21713,-8.188755
Paderne,A Coruña,Consistorio Nº 10,15314,981797001,981797035,correo@concellodepaderne.com,http://www.concellodepaderne.com,43.287408,-8.175239
Padrón,A Coruña,Rúa Longa  27,15900,981810451,981811550,correo@padron.gal,http://padron.gal/es,42.738146,-8.660772
Ponteceso,A Coruña,Rúa do Concello 18,15110,981714000,981715028,concello@ponteceso.gal,http://www.ponteceso.gal,43.243179,-8.900685
Pontedeume,A Coruña,Rúa Real  Nº 13,15600,981433054,981433368,correo@pontedeume.gal,http://www.pontedeume.es/,43.406474,-8.170878
Porto do Son,A Coruña,Rua da Atalaia S/N,15970,981867412,981767358,correo@portodoson.gal,http://www.portodoson.gal,42.724735,-9.005986
Rianxo,A Coruña,Plaza de Castelao  1,15920,981860075,981866628,concello@concelloderianxo.gal,https://concelloderianxo.gal,42.651915,-8.818532
Ribeira,A Coruña,Praza do Concello  S/N,15960,981871050,981871610,alcaldia@riveira.com,http://www.riveira.es,42.554866,-8.993254
Rois,A Coruña,Lugar de Samil  1 - Parroquia de Oín,15911,981804109,981804182,correo@rois.gal,https://www.rois.gal/,42.761003,-8.690455
Sada,A Coruña,Avda. da Mariña Nº 25,15160,981620075,981623655,correo@concellodesada.gal,https://www.sada.gal/,43.351654,-8.253458
San Sadurniño,A Coruña,O Casal  16,15560,981490027,981490474,correo@sansadurnino.gal,http://www.sansadurnino.gal,43.531631,-8.071833
Santa Comba,A Coruña,Praza do Concello Nº1,15841,981880075,981880716,correo@santacomba.es,http://www.santacomba.es,43.036556,-8.820262
Santiago de Compostela,A Coruña,Praza do Obradoiro 1,15705,981542300,981563864,informacion@santiagodecompostela.gal,http://www.santiagodecompostela.gal/,42.880355,-8.546226
Santiso,A Coruña,Agro do Chao. Arcediago,15808,981818501,981818564,correo@santiso.gal,http://www.santiso.gal,42.84608,-8.038688
Sobrado,A Coruña,Plaza Portal Nº 1,15813,981787508,981787577,correo@sobrado.es,http://www.sobrado.es,43.040218,-8.02216
Teo,A Coruña,Ramallosa S/N,15883,981815700,981809401,comunicacion@teo.gal,https://www.teo.gal,42.795117,-8.548865
Toques,A Coruña,Souto S/N,15806,981505826,981506255,correo@toques.es,https://toques.gal,42.967218,-7.973349
Tordoia,A Coruña,Ponte Pedra. Cabaleiros,15683,981690001,981690005,correo@tordoia.gal,http://www.tordoia.es,43.090015,-8.550764
Touro,A Coruña,Fonte-Diaz  S/N,15822,981504029,981504110,correo@concellodetouro.gal,http://www.concellodetouro.com,42.867244,-8.303717
Trazo,A Coruña,Viaño Pequeno Nº14,15687,981689001,981689035,correo@concellodetrazo.es,http://www.concellodetrazo.es,43.027592,-8.515949
Val do Dubra,A Coruña,Rúa Arcai  41 - Bembibre - 15873 - Val do Dubra (A Coruña),15873,981889000,981889100,correo@valdodubra.gal,http://www.valdodubra.gal,43.026569,-8.656207
Valdoviño,A Coruña,Porta do Sol S/N,15552,981487041,981487294,correo@concellodevaldovino.com,http://www.concellodevaldovino.com,43.606872,-8.143573
Vedra,A Coruña,Avda. Maestro Manuel Gómez  Nº1,15885,981814612,981503331,correo@concellodevedra.com,https://www.concellodevedra.es,42.776602,-8.482116
Vilarmaior,A Coruña,Armada Nº 1,15637,981781709,981781754,correo@vilarmaior.es,http://concellodevilarmaior.es,43.355389,-8.129333
Vilasantar,A Coruña,Vilasantar  s/n,15807,981778169,981778166,correo@vilasantar.com,http://vilasantar.gal/,43.072571,-8.121879
Vimianzo,A Coruña,Praza do Concello Nº 6,15129,981716001,981716650,alcaldia@vimianzo.gal,http://www.vimianzo.gal,43.110281,-9.034324
Zas,A Coruña,Praza do Campo Nº 1,15850,981708303,981751142,correo@concellodezas.org,http://www.concellodezas.org,43.099726,-8.916197
A Fonsagrada,Lugo,Rúa Burón Nº 12 Bajo,27100,982340000,982340001,concello.afonsagrada@eidolocal.es,http://www.afonsagrada.org,43.126276,-7.067315
A Pastoriza,Lugo,Praza de Galicia Nº 1,27287,982332197,982332233,administracion@concellodapastoriza.es,http://www.concelloapastoriza.es,43.300193,-7.351747
A Pobra do Brollón,Lugo,Avda de Jose Antonio 50,27330,982430001,982430361,concello@concellodapobradobrollon.gal,http://www.concellodapobradobrollon.gal,42.557237,-7.39333
A Pontenova,Lugo,Praza do Concello  S/N,27720,982342277,982342051,consultas@concellodapontenova.org,http://www.concellodapontenova.org,43.347542,-7.192467
Abadín,Lugo,Avda. de Galicia  2,27730,982508021,982508051,concello.abadin@eidolocal.es,http://www.abadin.es,43.363741,-7.475437
Alfoz,Lugo,A Seara S/N,27773,982558581,982558504,concello.alfoz@eidolocal.es,http://www.concellodealfoz.com/,43.527392,-7.416519
Antas de Ulla,Lugo,Praza de España  2,27570,982379251,982379100,concello.antasdeulla@eidolocal.es,http://www.concellodeantas.org,42.782661,-7.890329
As Nogais,Lugo,Rosalía de Castro  S/N,27677,982364092,982364150,concelloasnogais@concelloasnogais.es,http://www.concelloasnogais.es,42.809103,-7.109251
Baleira,Lugo,Avda. Doctor Escobar S/N,27130,982354059,982354039,info@concellobaleira.es,http://www.concellobaleira.es,43.016478,-7.246138
Baralla,Lugo,Avda. Evaristo Correa Calderón 58,27680,982363303,982363221,contacto@concellodebaralla.org,http://www.concellobaralla.es,42.893845,-7.251089
Barreiros,Lugo,Rúa Vila 63  San Cosme de Barreiros,27790,982124002,982124110,administracion@concellodebarreiros.gal,http://www.concellodebarreiros.gal,43.540783,-7.233328
Becerreá,Lugo,Praza do Concello  s/n,27640,982360004,982360518,concellodebecerrea@telefonica.net,http://www.concellobecerrea.es,42.853322,-7.161839
Begonte,Lugo,Praza dos Irmans Souto Montenegro 1,27373,982396143,982396155,concello.de.begonte@eidolocal.es,http://www.concellodebegonte.es,43.149806,-7.685956
